ANNO;COMUNE;PROVICIA;REGIONE;STIR;LOCALITA;STAZIONE;TIPO ZONA;AREA;DATA;NUMERO INCENDIO;COMUNE DATO RA;PROVINCIA DATO RA;PROVINCE AL 2001;CODICE ISTAT PROVINCIA;IDFEATURE
2003;ALES;ORISTANO;Sardegna;ORISTANO;MONTE ZEPPARA;ALES;PASCOLO;8.07;03/08/2003;06;Ales;Oristano;Oristano;;1989
2003;MASULLAS;ORISTANO;Sardegna;ORISTANO;RIU BENAS;ALES;ALTRO;0.89;03/08/2003;05;Masullas;Oristano;Oristano;;1990
2004;VALLERMOSA;CAGLIARI;Sardegna;CAGLIARI;CORTE BACCAS;VILLACIDRO;ALTRO;1.44;29/06/2004;29;Vallermosa;Cagliari;Cagliari;;1180
2004;VILLACIDRO;MEDIO CAPIDANO;Sardegna;CAGLIARI;SANTA MARIA;VILLACIDRO;ALTRO;0.79;13/07/2004;39;Villacidro;Medio Campidano;Cagliari;;1176
2005;ALGHERO;SASSARI;Sardegna;SASSARI;CARRABUFFAS;ALGHERO;ALTRO;0.42;31/07/2005;52;Alghero;Sassari;Sassari;;722
2005;ALGHERO;SASSARI;Sardegna;SASSARI;LA PERDRERA;ALGHERO;ALTRO;1.64;24/06/2005;16;Alghero;Sassari;Sassari;;736
2005;ALGHERO;SASSARI;Sardegna;SASSARI;LA SIESTA;ALGHERO;BOSCO;0.41;16/07/2005;35;Alghero;Sassari;Sassari;;732
2005;ALGHERO;SASSARI;Sardegna;SASSARI;LAZZARETTO;ALGHERO;BOSCO;1.41;15/08/2005;61;Alghero;Sassari;Sassari;;716
2005;ALGHERO;SASSARI;Sardegna;SASSARI;LAZZARETTO;ALGHERO;BOSCO;1.88;01/08/2005;53;Alghero;Sassari;Sassari;;721
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MAMUNTANAS;ALGHERO;ALTRO;0.62;11/06/2005;5;Alghero;Sassari;Sassari;;738
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MAMUNTANAS;ALGHERO;ALTRO;1.55;14/06/2005;9;Alghero;Sassari;Sassari;;737
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MARIA PIA;ALGHERO;ALTRO;1.20;05/07/2005;24;Alghero;Sassari;Sassari;;733
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MARISTELLA;ALGHERO;BOSCO;0.50;15/08/2005;65;Alghero;Sassari;Sassari;;717
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MONTE PEDROSU;ALGHERO;BOSCO;5.55;14/08/2005;62;Alghero;Sassari;Sassari;;1296
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MONTE ZIRRA;ALGHERO;BOSCO;28.97;07/08/2005;57;Alghero;Sassari;Sassari;;720
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MUGONI - SANT'IGORI;ALGHERO;ALTRO;0.12;23/07/2005;40;Alghero;Sassari;Sassari;;730
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MUGONI - SANT'IGORI;ALGHERO;ALTRO;0.14;23/07/2005;40;Alghero;Sassari;Sassari;;729
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MUGONI - SANT'IGORI;ALGHERO;ALTRO;0.18;23/07/2005;40;Alghero;Sassari;Sassari;;731
2005;ALGHERO;SASSARI;Sardegna;SASSARI;MUGONI - SANT'IGORI;ALGHERO;BOSCO;0.55;23/07/2005;40;Alghero;Sassari;Sassari;;728
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SA SEGADA;ALGHERO;ALTRO;2.49;28/05/2005;1;Alghero;Sassari;Sassari;;740
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SA SEGADA;ALGHERO;PASCOLO;2.17;28/05/2005;1;Alghero;Sassari;Sassari;;739
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SURIGHEDDU;ALGHERO;ALTRO;0.33;27/07/2005;48;Alghero;Sassari;Sassari;;724
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SURIGHEDDU;ALGHERO;ALTRO;1.27;27/07/2005;48;Alghero;Sassari;Sassari;;725
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SURIGHEDDU;ALGHERO;ALTRO;1.30;27/07/2005;48;Alghero;Sassari;Sassari;;726
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SURIGHEDDU;ALGHERO;BOSCO;1.58;27/07/2005;48;Alghero;Sassari;Sassari;;727
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SUROGHEDDU;ALGHERO;ALTRO;0.29;14/08/2005;63;Alghero;Sassari;Sassari;;712
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SUROGHEDDU;ALGHERO;ALTRO;3.93;14/08/2005;63;Alghero;Sassari;Sassari;;713
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SUROGHEDDU;ALGHERO;ALTRO;6.59;14/08/2005;63;Alghero;Sassari;Sassari;;711
2005;ALGHERO;SASSARI;Sardegna;SASSARI;SUROGHEDDU;ALGHERO;BOSCO;20.78;14/08/2005;63;Alghero;Sassari;Sassari;;714
2005;ALGHERO;SASSARI;Sardegna;SASSARI;TANCA FARRA';ALGHERO;ALTRO;0.47;04/07/2005;22;Alghero;Sassari;Sassari;;734
2005;ALGHERO;SASSARI;Sardegna;SASSARI;VALVERDE;ALGHERO;BOSCO;0.34;09/08/2005;58;Alghero;Sassari;Sassari;;718
2005;ALGHERO;SASSARI;Sardegna;SASSARI;VALVERDE;ALGHERO;PASCOLO;0.31;09/08/2005;58;Alghero;Sassari;Sassari;;719
2005;ANELA;SASSARI;Sardegna;SASSARI;NIDU E CORVU;BONO;BOSCO;0.39;16/07/2005;5;Anela;Sassari;Sassari;;700
2005;ANELA;SASSARI;Sardegna;SASSARI;NIDU E CORVU;BONO;BOSCO;3.24;20/07/2005;7;Anela;Sassari;Sassari;;699
2005;BANARI;SASSARI;Sardegna;SASSARI;SAS SEDDAS;THIESI;BOSCO;3.83;01/10/2005;16;Banari;Sassari;Sassari;;512
2005;BANARI;SASSARI;Sardegna;SASSARI;SAS SEDDAS;THIESI;PASCOLO;1.52;01/10/2005;16;Banari;Sassari;Sassari;;514
2005;BANARI;SASSARI;Sardegna;SASSARI;SAS SEDDAS;THIESI;PASCOLO;1.81;01/10/2005;16;Banari;Sassari;Sassari;;513
2005;BENETUTTI;SASSARI;Sardegna;SASSARI;SAE ISABELLA;BENETUTTI;PASCOLO;0.29;01/09/2005;17;Benetutti;Sassari;Sassari;;703
2005;BONNANARO;SASSARI;Sardegna;SASSARI;ENA E FILIGHE;THIESI;ALTRO;0.51;31/08/2005;11;Bonnanaro;Sassari;Sassari;;518
2005;BONO;SASSARI;Sardegna;SASSARI;ISTATTUCCULA;BONO;BOSCO;0.14;23/07/2005;8;Bono;Sassari;Sassari;;698
2005;BONO;SASSARI;Sardegna;SASSARI;SANTU MATTEU;BONO;BOSCO;2.35;26/07/2005;9;Bono;Sassari;Sassari;;697
2005;BONO;SASSARI;Sardegna;SASSARI;SA TERRA RUIA;BONO;PASCOLO;0.20;14/08/2005;12;Bono;Sassari;Sassari;;696
2005;BONO;SASSARI;Sardegna;SASSARI;S. BAINGIO;BONO;BOSCO;8.20;07/09/2005;16;Bono;Sassari;Sassari;;694
2005;BONO;SASSARI;Sardegna;SASSARI;SOS ARESTES;BONO;BOSCO;0.20;15/07/2005;4;Bono;Sassari;Sassari;;701
2005;BONORVA;SASSARI;Sardegna;SASSARI;CASE MARONGIU;BONORVA;PASCOLO;2.01;24/07/2005;7;Bonorva;Sassari;Sassari;;686
2005;BONORVA;SASSARI;Sardegna;SASSARI;CHELCOS DE SERRA;BONORVA;PASCOLO;5.00;05/07/2005;2;Bonorva;Sassari;Sassari;;692
2005;BONORVA;SASSARI;Sardegna;SASSARI;CUCCURU-PISCHINAS;BONORVA;BOSCO;0.58;25/08/2005;20;Bonorva;Sassari;Sassari;;676
2005;BONORVA;SASSARI;Sardegna;SASSARI;CUCCURU-PISCHINAS;BONORVA;PASCOLO;2.49;25/08/2005;20;Bonorva;Sassari;Sassari;;677
2005;BONORVA;SASSARI;Sardegna;SASSARI;MONTIGIU ANZONE;BONORVA;PASCOLO;10.88;06/07/2005;3;Bonorva;Sassari;Sassari;;691
2005;BONORVA;SASSARI;Sardegna;SASSARI;PLANU CHELVORI;BONORVA;BOSCO;0.58;23/07/2005;6;Bonorva;Sassari;Sassari;;689
2005;BONORVA;SASSARI;Sardegna;SASSARI;PLANU CHELVORI;BONORVA;BOSCO;24.58;23/07/2005;6;Bonorva;Sassari;Sassari;;890
2005;BONORVA;SASSARI;Sardegna;SASSARI;PLANU CHELVORI;BONORVA;BOSCO;80.33;23/07/2005;6;Bonorva;Sassari;Sassari;;891
2005;BONORVA;SASSARI;Sardegna;SASSARI;PLANU CHELVORI;BONORVA;PASCOLO;8.83;23/07/2005;6;Bonorva;Sassari;Sassari;;687
2005;BONORVA;SASSARI;Sardegna;SASSARI;PLANU CHELVORI;BONORVA;PASCOLO;17.00;23/07/2005;6;Bonorva;Sassari;Sassari;;688
2005;BONORVA;SASSARI;Sardegna;SASSARI;PUNGA;BONORVA;BOSCO;1.71;26/07/2005;11;Bonorva;Sassari;Sassari;;684
2005;BONORVA;SASSARI;Sardegna;SASSARI;PUNGA;BONORVA;PASCOLO;1.29;26/07/2005;11;Bonorva;Sassari;Sassari;;683
2005;BONORVA;SASSARI;Sardegna;SASSARI;SERRAS;BONORVA;PASCOLO;0.99;29/07/2005;15;Bonorva;Sassari;Sassari;;682
2005;BORUTTA;SASSARI;Sardegna;SASSARI;POSSILVA;THIESI;PASCOLO;0.78;04/09/2005;12;Borutta;Sassari;Sassari;;517
2005;BORUTTA;SASSARI;Sardegna;SASSARI;SAS ANIMAS;THIESI;PASCOLO;0.34;19/09/2005;13;Borutta;Sassari;Sassari;;516
2005;BULTEI;SASSARI;Sardegna;SASSARI;BIDIGHINZU;BENETUTTI;BOSCO;0.44;19/08/2005;15;Bultei;Sassari;Sassari;;704
2005;BULTEI;SASSARI;Sardegna;SASSARI;PALA NIEDDA;BENETUTTI;PASCOLO;0.28;26/05/2005;4;Bultei;Sassari;Sassari;;707
2005;BULTEI;SASSARI;Sardegna;SASSARI;PISANEDDU;BENETUTTI;ALTRO;0.39;08/06/2005;3;Bultei;Sassari;Sassari;;708
